"symbol","date","open","high","low","close","volume","adjusted"
"ADBE",1999-10-15,14.37109375,15.0078134536743,14.3203134536743,14.671875,10833600,14.5626354217529
"ADBE",1999-10-18,14.640625,14.734375,14.203125,14.703125,8832800,14.593653678894
"ADBE",1999-10-19,14.7890634536743,15.3671884536743,14.71875,15.1171884536743,8572800,15.0046348571777
"ADBE",1999-10-20,15.26953125,15.9296884536743,15.25,15.7109384536743,10516800,15.5939636230469
"ADBE",1999-10-21,15.5,16.1015625,15.25,15.984375,5240000,15.865364074707
"ADBE",1999-10-22,16.0703125,16.40625,15.96875,16.1015625,6364800,15.9816789627075
"ADBE",1999-10-25,16.0625,16.1875,15.625,15.84375,5492800,15.7257843017578
"ADBE",1999-10-26,15.8671884536743,16.15625,15.703125,15.7265634536743,4448000,15.6094722747803
"ADBE",1999-10-27,15.84375,15.96875,15.375,15.671875,4274400,15.5551910400391
"ADBE",1999-10-28,16,16.625,15.875,16.625,8483600,16.5012187957764
"ADBE",1999-10-29,17.125,17.5625,16.984375,17.484375,8604800,17.3541965484619
"ADBE",1999-11-01,17.71875,18,17.09375,17.140625,7445200,17.0130062103271
"ADBE",1999-11-02,17.25,17.625,16.84375,17.015625,5580800,16.88893699646
"ADBE",1999-11-03,17.265625,17.4375,16.890625,17.203125,7248000,17.0750370025635
"ADBE",1999-11-04,17.5625,17.75,16.78125,17.21875,9234000,17.0905494689941
"ADBE",1999-11-05,17.8125,18,17.34375,17.671875,6820800,17.5402984619141
"ADBE",1999-11-08,17.484375,18.46875,17.4375,17.84375,6008000,17.7108917236328
"ADBE",1999-11-09,18.2421875,18.25,17.4375,18,8079200,17.8659801483154
"ADBE",1999-11-10,17.984375,18.5,17.875,18.25,4449200,18.1141185760498
"ADBE",1999-11-11,18.484375,18.5,18,18.109375,3371200,17.974536895752
"ADBE",1999-11-12,18.375,18.96875,17.78125,18.78125,3985200,18.6414165496826
"ADBE",1999-11-15,18.984375,19.75,18.234375,18.453125,7449600,18.315731048584
"ADBE",1999-11-16,18.859375,19.15625,18.59375,19.140625,4802000,18.9981079101562
"ADBE",1999-11-17,19.390625,19.640625,18.59375,18.75,8992400,18.6103935241699
"ADBE",1999-11-18,19.109375,19.3125,18.4375,19.03125,9082400,18.8895530700684
"ADBE",1999-11-19,19.109375,19.375,18.78125,18.90625,5306800,18.7654800415039
"ADBE",1999-11-22,18.78125,19.1875,18.640625,19.015625,6298400,18.8740425109863
"ADBE",1999-11-23,19.0625,19.09375,18.3125,18.6875,5994400,18.5483646392822
"ADBE",1999-11-24,18.5,18.90625,18.5,18.765625,4105200,18.6259059906006
"ADBE",1999-11-26,18.875,18.875,18.15234375,18.453125,2009600,18.315731048584
"ADBE",1999-11-29,18.0625,18.515625,17.8125,17.890625,6532800,17.7574157714844
"ADBE",1999-11-30,17.765625,17.765625,17.03125,17.171875,11107600,17.0440254211426
"ADBE",1999-12-01,16.96875,17.109375,16.59375,16.640625,9156000,16.5167274475098
"ADBE",1999-12-02,16.71875,17.296875,16.578125,17.15625,11634000,17.0285110473633
"ADBE",1999-12-03,17.75,17.765625,16.609375,16.671875,8816400,16.5477466583252
"ADBE",1999-12-06,16.625,16.65625,15.75,15.78125,14304400,15.6637496948242
"ADBE",1999-12-07,15.640625,15.75,14.96875,15.15625,13360000,15.0434036254883
"ADBE",1999-12-08,15.03125,17.3125,15.03125,16.9375,14882400,16.8113956451416
"ADBE",1999-12-09,17.34375,17.71875,15.75,16.375,7206800,16.2530822753906
"ADBE",1999-12-10,16.734375,16.75,15.15625,15.65625,9044800,15.5396814346313
"ADBE",1999-12-13,15.78125,15.875,15,15.046875,12854400,14.9348430633545
"ADBE",1999-12-14,15.21875,15.71875,15,15.15625,8088000,15.0434036254883
"ADBE",1999-12-15,15.5,15.671875,15,15.46875,11334000,15.3535766601562
"ADBE",1999-12-16,16.140625,16.83984375,15.53125,15.9375,30246400,15.8188371658325
"ADBE",1999-12-17,17.78125,17.96875,16.8125,16.875,33308800,16.7493591308594
"ADBE",1999-12-20,16.96875,16.96875,16.21875,16.3125,8723600,16.1910438537598
"ADBE",1999-12-21,16.3125,16.34375,15.46875,15.84375,10080400,15.7257843017578
"ADBE",1999-12-22,15.9375,16.859375,15.6875,16.71875,9315200,16.5942707061768
"ADBE",1999-12-23,17.234375,17.25,16.453125,16.75,5443200,16.6315059661865
"ADBE",1999-12-27,16.640625,17.015625,16.03125,16.1875,4499600,16.0729827880859
"ADBE",1999-12-28,16.1875,16.75,16,16.53125,4936800,16.4143028259277
"ADBE",1999-12-29,16.375,16.65625,16.328125,16.484375,2794000,16.3677558898926
"ADBE",1999-12-30,16.4375,16.96875,16.265625,16.5,3032000,16.3832740783691
"ADBE",1999-12-31,16.515625,16.875,16.5,16.8125,2882000,16.6935634613037
"ADBE",2000-01-03,16.8125,16.875,16.0625,16.390625,7384400,16.2746734619141
"ADBE",2000-01-04,15.75,16.453125,14.984375,15.015625,7813200,14.9093980789185
"ADBE",2000-01-05,14.5625,15.6875,14.5625,15.3125,14927200,15.204174041748
"ADBE",2000-01-06,15.359375,15.65625,15.15625,15.4375,10221200,15.3282918930054
"ADBE",2000-01-07,15.390625,16.1875,15.21875,16.1875,8253200,16.0729827880859
"ADBE",2000-01-10,16.34375,16.8125,15.90625,16.8125,10987200,16.6935634613037
"ADBE",2000-01-11,16.796875,16.8125,15.59375,15.65625,9616000,15.5454921722412
"ADBE",2000-01-12,15.6875,15.84375,15.4375,15.578125,8051200,15.467921257019
"ADBE",2000-01-13,15.703125,16.5,15.6875,16.40625,5527200,16.290189743042
"ADBE",2000-01-14,16.65625,16.84375,16.40625,16.578125,5136800,16.4608478546143
"ADBE",2000-01-18,16.265625,16.46875,16,16,5201600,15.8868103027344
"ADBE",2000-01-19,15.9296884536743,16.09375,15.625,15.78125,4559200,15.6696081161499
"ADBE",2000-01-20,15.90625,16.15625,15.375,15.953125,4248800,15.8402671813965
"ADBE",2000-01-21,16.125,16.21875,15.5,15.71875,6900000,15.6075487136841
"ADBE",2000-01-24,15.7734384536743,15.875,15.03125,15.140625,5895600,15.0335149765015
"ADBE",2000-01-25,15.0390634536743,15.84375,14.71875,15.75,7566000,15.6385812759399
"ADBE",2000-01-26,15.78125,16.0625,15.234375,15.296875,4466000,15.1886568069458
